PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
01411391,FOOD                      ,DELI                      ,NATIONAL,N
01411413,FOOD                      ,DELI                      ,NATIONAL,N
01411516,FOOD                      ,DELI                      ,NATIONAL,N
01412768,FOOD                      ,DELI                      ,NATIONAL,N
02536675,FOOD                      ,DELI                      ,NATIONAL,N
03679186,FOOD                      ,DELI                      ,NATIONAL,N
04208818,FOOD                      ,DELI                      ,NATIONAL,N
04278086,FOOD                      ,DELI                      ,NATIONAL,N
05022901,FOOD                      ,DELI                      ,NATIONAL,N
05180161,FOOD                      ,DELI                      ,NATIONAL,N
05352865,FOOD                      ,DELI                      ,NATIONAL,N
05696257,FOOD                      ,DELI                      ,NATIONAL,N
06589608,FOOD                      ,DELI                      ,NATIONAL,N
06611540,FOOD                      ,DELI                      ,NATIONAL,N
06692341,FOOD                      ,DELI                      ,NATIONAL,N
06834689,FOOD                      ,GIFT                      ,NATIONAL,N
01045591,NON-FOOD                  ,GIFT                      ,NATIONAL,N
05919179,NON-FOOD                  ,GIFT                      ,NATIONAL,N
05925086,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06065002,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06419812,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06420533,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06573452,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06741712,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06770194,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06823681,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06824885,NON-FOOD                  ,GIFT                      ,NATIONAL,N
06856328,NON-FOOD                  ,GIFT                      ,NATIONAL,N
07271948,NON-FOOD                  ,GIFT                      ,NATIONAL,N
00550700,NON-FOOD                  ,MISC                      ,NATIONAL,N
00943251,NON-FOOD                  ,MISC                      ,NATIONAL,N
02249194,NON-FOOD                  ,MISC                      ,NATIONAL,N
05753033,NON-FOOD                  ,MISC                      ,NATIONAL,N
06489975,NON-FOOD                  ,MISC                      ,NATIONAL,N
06865744,NON-FOOD                  ,MISC                      ,NATIONAL,N
06900173,NON-FOOD                  ,MISC                      ,NATIONAL,N
06919980,NON-FOOD                  ,MISC                      ,NATIONAL,N
06964738,NON-FOOD                  ,MISC                      ,NATIONAL,N
